Defined term,Definition,Reference1,Reference2
esophageal adenoca,"Esophageal adenoca is esophageal adenocarcinoma, and is throat cancer.",,
esophageal banding,"Esophageal banding is endoscopic variceal banding (or ligation), where rubber bands are placed around varices in the esophagus to prevent variceal bleeding.",https://www.liver.ca/patients-caregivers/liver-diseases/variceal-bleeding/,
ESRD,end stage renal disease,,
ET,ejection time,https://www.acronymfinder.com/Science-and-Medicine/ET.html,
ET,elevated temperature,https://www.acronymfinder.com/Science-and-Medicine/ET.html,
ET,end tidal,https://www.acronymfinder.com/Science-and-Medicine/ET.html,
ET,endotracheal,https://www.acronymfinder.com/Science-and-Medicine/ET.html,
ET,endotracheal tube,https://www.acronymfinder.com/Science-and-Medicine/ET.html,
ET,essential thrombocythemia (overproduction of platelets),https://www.acronymfinder.com/Science-and-Medicine/ET.html,
ET,essential tremor,https://www.acronymfinder.com/Science-and-Medicine/ET.html,
ET,exercise tolerance,https://www.acronymfinder.com/Science-and-Medicine/ET.html,
ET,extrathoracic,https://www.acronymfinder.com/Science-and-Medicine/ET.html,
EtOH abuse,EtOH abuse is  excessive drinking of alcohol.,https://www.alcoholrehabguide.org/alcohol/,
EtOH cirrhosis,EtOH cirrhosis is scarring of the liver due to alcohol damage.,https://medlineplus.gov/ency/article/000281.htm,
ETT,endotracheal tube,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,
Evans syndrome,Evans syndrome is autoimmune hemolytic anemia and autoimmune thrombocytopenia.,https://rarediseases.info.nih.gov/diseases/6389/evans-syndrome,
excavated lesions,"In radiology, lesions whose surface is beneath plane of mucosa.","Hagenmueller F, ed. Medical Imaging in Gastroenterology and Hematology. 2002.  p116. ",
excoriated,Excoriated refers to skin that has been chafed and is raw.,https://www.merriam-webster.com/medical/excoriation,
exlap,"Ex-lap is exploratory laparotomy, a surgical operation where the abdomen is opened and the abdominal organs examined for injury or disease.",https://en.wikipedia.org/wiki/Exploratory_laparotomy,
ex-lap mesh closure,"Ex-lap is exploratory laparotomy, a surgical operation where the abdomen is opened and the abdominal organs examined for injury or disease. Closure of the wound can involve reinforcement with wound closure mesh.",https://bmcsurg.biomedcentral.com/articles/10.1186/s12893-021-01243-x,
exophytic,Exophytic is used by radiologists and pathologists to say a lesion or tumor is arising from or in the boundary of a solid organ.,https://radiopaedia.org/articles/exophytic-definition?lang=us,
EXT,extension,http://www.globalrph.com/abbreviations_E.htm,
EXT,extensor,http://www.globalrph.com/abbreviations_E.htm,
EXT,external,http://www.globalrph.com/abbreviations_E.htm,
EXT,extract,http://www.globalrph.com/abbreviations_E.htm,
EXT,extraction,http://www.globalrph.com/abbreviations_E.htm,
EXT,extremities,http://www.globalrph.com/abbreviations_E.htm,
ext moves,moves extremities,,
extravasation,"Extravasation is the abnormal escape of a substance (blood, serum, lymph, or medicine) from a blood vessel into the surrounding tissue.",https://medical-dictionary.thefreedictionary.com/extravasation,
extubated,To extubate means to remove tube and usually means to remove endotracheal tube to discontinue mechanical ventilation.,https://www.merriam-webster.com/medical/extubation,
Fair strength,Able to move against gravity but cannot accept resistance to movement,http://studylib.net/doc/8145789/acronyms---medical-record-terminology,
fem line,Fem line is a catheter in the femoral (generally) vein.,https://www.ncbi.nlm.nih.gov/books/NBK459255/,
fenoldopam,"Fenoldopam is used in-hospital for rapid, short-term reduction of blood pressure.",https://www.rxlist.com/corlopam-drug.htm,
fent,fentanyl,,
fentanyl,Fentanyl is an opioid given to treat pain.,https://medlineplus.gov/druginfo/meds/a605043.html,
fever,Fever generally indicates infection.,,
fever 102.5,Fever generally indicates infection.,,
FFP,fresh frozen plasma,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,
FH 66D,Brand of CAVHD filter,https://ac.els-cdn.com/S1607551X09704206/1-s2.0-S1607551X09704206-main.pdf?_tid=78d74118-0dbe-11e8-855e-00000aacb361&acdnat=1518197416_0a223a85f370e6a467ec49441f2670db,
fib,"could be: fiber, fibula, fecal indicator bacteria, fibrinogen, fibrillation",,
fib s/p ablation,Fib is fibrillation in this case.,,
fib s/p ablation tachy-brady syndrome,Fib is fibrillation in this case.,,
fibrinogen 100,Abnormal fibrinogen value is <100.,,
fibrinogen:105 mg/dl,Abnormal fibrinogen value is <100.,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
fibrinogen:226 mg/dl,Abnormal fibrinogen value is <100.,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
fibrinogen:318 mg/dl,Abnormal fibrinogen value is <100.,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
fibrinogen:386 mg/dl,Abnormal fibrinogen value is <100.,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
fibrinogen:416 mg/dl,Abnormal fibrinogen value is <100.,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
fibrinogen:457 mg/dl,Abnormal fibrinogen value is <100.,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
fibrinogen:489 mg/dl,Abnormal fibrinogen value is <100.,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
fibrinogen:499 mg/dl,Abnormal fibrinogen value is <100.,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
fibrinogen:614 mg/dl,Abnormal fibrinogen value is <100.,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
fibrinogen:620 mg/dl,Abnormal fibrinogen value is <100.,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
fibrinogen:674 mg/dl,Abnormal fibrinogen value is <100.,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
fibrinogen:726 mg/dl,Abnormal fibrinogen value is <100.,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
fibrinogen:880 mg/dl,Abnormal fibrinogen value is <100.,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
FICU,Finard Medical Surgical ICU,www.bidmc.org/Patient-and-Visitor-Information/Adult-Intensive-Care/Finding-the-ICU.aspx,
FIO2,% of inspired oxygen (room air has 21% oxygen),http://www.ucdenver.edu/academics/colleges/medicalschool/departments/medicine/intmed/imrp/CURRICULUM/Documents/Mechanical%20ventilation%20review.pdf,
flatus,some bowel activity,http://pennstatehershey.adam.com/content.aspx?productId=117&pid=1&gid=003137,
fld,fluid,http://www.globalrph.com/abbreviations_F.htm,https://www.allacronyms.com/_medical/FLD
FLD,fatty liver disease,https://www.allacronyms.com/_medical/FLD,
FLD,fatty liver dystrophy,https://www.allacronyms.com/_medical/FLD,
FLD,fibrotic lung disease,https://www.allacronyms.com/_medical/FLD,
FLD,frontal lobe dementia,https://www.allacronyms.com/_medical/FLD,
flexure,Flexure is an anatomical curve.,https://www.yourdictionary.com/flexure,
fluid collections,Fluid collections refers to measuring fluid outputs as part of monitoring fluid balance or wound healing.,,
fluid removal,"If the patient is overloaded with fluid, physicians want to remove the excess.",,
foley,Foley is a catheter placed into the bladder to drain urine.,https://en.wikipedia.org/wiki/Foley_catheter,
foley patent,Foley is a catheter placed into the bladder to drain urine.  Patent means it isn't blocked.,https://en.wikipedia.org/wiki/Foley_catheter,
forward flow,Forward flow refers to the preferred direction of blood through the heart.,http://medcraveonline.com/JCCR/JCCR-05-00172.php,
french tracker,"French Tracker is a catheter by Target Therapeutics, Fremont, CA.  French units measure the external radius of the catheter.  Tracker catheters are used to facilitate the placement of the therapeutic device in the blood vessel during a therapeutic procedure.",https://www.vitalitymedical.com/guides/urinary/catheter-product-comparison-and-sizing-guide,https://jhu.pure.elsevier.com/en/publications/the-use-of-the-tracker-catheter-as-a-guidewire-support-device-in--3
Friedlander's bacillus infection,"Friedlander's bacillus infection is Klebsiella pneumonia, caused by a small gram negative coccobacilli commonly found in health care environments.",www.disabled-world.com/health/mrsa/klebsiella-pneumoniae.php,
fully supported,This refers to full breathing support by mechanical ventilation.,Molitoris BA.  Critical Care Nephrology.  Remedica. 2005.,
fulminant hepatic failure,Fulminant hepatic failure is sudden worsening of liver function.,http://www.nejm.org/doi/full/10.1056/NEJMra1208937,
fungal isolator,Fungal Isolator is a system used for diagnosing fungal infections.,https://blog.ucdmc.ucdavis.edu/labbestpractice/index.php/2018/12/15/361/,
Fusarium,Fusarium is a fungus that causes fungal infections.,https://www.symptoma.com/en/info/fusarium-infection,
g/dl,A unit of measure often used for hemoglobin level lab result.,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
gancyclovir,Gangciclovir is used to treat cytomegalovirus or prevent cytomegalovirus infection.,https://medlineplus.gov/druginfo/meds/a605011.html,
gastritis,Gastritis is inflammation of the stomach lining.,https://www.mayoclinic.org/diseases-conditions/gastritis/symptoms-causes/syc-20355807,
gemfibrozil,"Gemfibrozil is used to decrease serum triglycerides and very low density lipoprotein (VLDL) cholesterol, and increase high density lipoprotein (HDL) cholesterol.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a1da5a84-7529-4f62-867f-808a6cab40b8,
gentamycin,Gentamycin is an antibiotic.,https://www.rxlist.com/consumer_gentamicin/drugs-condition.htm,
germ cell cancer,Germ cell cancer is cancer of the testes or ovary.,https://www.webmd.com/cancer/germ-cell-tumors#1,
germinal centers,Germinal centers are normally regions in lymph nodes that respond to antigens.,"Mosby's Medical Dictionary, 9th edition. Elsevier. 2009.",
GI,gastrointestinal,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_G,https://www.cicm.org.au/CICM_Media/CICMSite/CICM-Website/Resources/Publications/CCR%20Journal/Previous%20Editions/December%202012/07_2012_Dec_Magnesium-flux.pdf
gi convinced,GI is gastrointestinal,,
gi: restarted tube,enteral feeding through a tube,,
gi: restarted tube feeds,enteral feeding through a tube,,
"gi: tol tube feed goal,",Patient tolerated enteral feeding via tube.,,
GIB,GIB is gastrointestinal bleeding.,https://www.allacronyms.com/GIB/medical,
given 2nd unit,Transfused a second unit of blood or blood component.,,
given improvement coags,Coagulation factors had been bad and recently improved.,,
given second unit,Transfused a second unit of blood or blood component.,,
GJ,gastrojejunostomy,https://www.acronymfinder.com/Science-and-Medicine/G_J.html,
g-j tube,"A g-j tube is a gastrojejunostomy tube that is inserted through skin, then the stomach, and then ends in the jejunem, and is for feeding the patient.",https://www.uwhealth.org/healthfacts/radiology-invasive/7986.pdf,
gluconate,Calcium gluconate is often among the fluids used in CRRT.,http://www.srft.nhs.uk/EasysiteWeb/getresource.axd?AssetID=62966&type=full&servicetype=Inline&filename=/TWCG04(16)_-_Issue_No_1_-_Haemofiltration_in_Critical_Care_(Renal_Replacement_Therapy).pdf,
GMC,gram negative cocci,records context,
goal CVP >12,Goal cvp >12 reflects a goal of treating patients with low blood pressure.,http://www.ihi.org/resources/Pages/Measures/CentralVenousPressureGoal.aspx,
green,indicates infection,,
grossly edematous,"General edema indicates the inability of the kidneys to clear fluid, resulting in fluid overload.","Besen BAMP, Gobatto ALN, Melro LMG, Maciel AT, Park M.  Fluid and electrolyte overload in critically ill patients: an overview.  World J Crit Care Med 2015 May 4; 4(2):116-129.  doi: 10.5492/wjccm.v4.i2.116.",
gtt,drops.  60gtt/mL = 60 drops/mL. slow infusion of medicine.,https://emtprep.com/free-training/post/medication-math-101,
